Last Updated:,5/22/2024,,,,,,
Number,NAME,Lat,Long,Seasonal Status,Municipality,Total Docks,Station ID (to match to historic system data)
A32052,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,Year Round,Boston,15,492
A32053,Valenti Way at Haverhill St,42.36473899,-71.05934903,Year Round,Boston,24,549
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,Year Round,Boston,26,12
B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,Year Round,Boston,25,14
B32004,Aquarium T Stop - 200 Atlantic Ave,42.36044136,-71.0504394,Year Round,Boston,23,20
B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,Year Round,Boston,19,46
B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,Year Round,Boston,15,3
B32007,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085,Year Round,Boston,23,24
B32008,Boston City Hall - 28 State St,42.35892,-71.057629,Year Round,Boston,25,23
B32010,Kenmore Square,42.348706,-71.097009,Year Round,Boston,27,33
B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,Year Round,Boston,15,30
B32014,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,Year Round,Boston,19,31
B32015,Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287,Year Round,Boston,15,32
B32017,Dudley Square - Bolling Building,42.32984299,-71.08386572,Year Round,Boston,18,56
B32018,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,Year Round,Boston,15,55
B32020,Burlington Ave at Brookline Ave,42.345733,-71.100694,Year Round,Boston,15,122
B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,Year Round,Boston,14,160
B32022,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,Year Round,Boston,10,196
B32023,MLK Blvd at Washington St,42.32143814,-71.09126061,Year Round,Boston,15,197
B32026,Washington St at Melnea Cass Blvd,42.332817,-71.081198,Year Round,Boston,19,200
B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Year Round,Boston,15,201
B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Year Round,Boston,15,202
B32029,Columbia Rd at Ceylon St,42.309572,-71.0729,Year Round,Boston,15,203
B32031,Bowdoin St at Quincy St,42.30785224,-71.06512249,Year Round,Boston,15,205
B32032,Government Center - Cambridge St at Court St,42.3598254,-71.05979576,Year Round,Boston,35,206
B32033,Huntington Ave at Mass Art,42.33658555,-71.09886996,Year Round,Boston,15,331
B32034,Boylston St at Jersey St,42.34465063,-71.09732501,Year Round,Boston,15,342
B32035,Cleveland Circle,42.33554308,-71.1506152,Year Round,Boston,15,346
B32036,One Brigham Circle,42.3339227,-71.10446509,Year Round,Boston,15,359
B32037,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,Year Round,Boston,19,361
B32055,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,Year Round,Boston,15,360
B32056,Tremont St at Hamilton Pl,42.35668335,-71.06166646,Year Round,Boston,19,374
B32058,Lansdowne T Stop,42.34734473,-71.10016808,Year Round,Boston,27,400
B32059,Whittier St Health Center,42.33286288,-71.09218862,Year Round,Boston,19,443
B32060,700 Commonwealth Ave.,42.34960945,-71.10391524,Year Round,Boston,16,446
B32061,One Beacon St,42.35847764,-71.0613513,Year Round,Boston,16,529
C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Year Round,Boston,19,4
C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Year Round,Boston,23,27
C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,Year Round,Boston,19,16
C32004,Massachusetts Ave at Columbus Ave,42.340835,-71.0816197,Year Round,Boston,14,57
C32005,Washington St at Lenox St,42.33509899,-71.07903779,Year Round,Boston,15,51
C32006,Washington St at Rutland St,42.3385146,-71.07404083,Year Round,Boston,27,39
C32007,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,Year Round,Boston,18,21
C32008,Boylston St at Fairfield St,42.34880382,-71.08236909,Year Round,Boston,19,61
C32009,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,Year Round,Boston,15,63
C32013,JFK/UMass T Stop,42.32033974,-71.05118036,Year Round,Boston,31,93
C32014,University of Massachusetts Boston - Campus Center,42.31218918,-71.03648586,Year Round,Boston,19,92
C32016,W Broadway at Dorchester St,42.33595898,-71.046229,Year Round,Boston,17,121
C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Year Round,Boston,15,119
C32020,ID Building East,42.344827,-71.028664,Year Round,Boston,17,135
C32021,ID Building West,42.344796,-71.031614,Year Round,Boston,19,136
C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Year Round,Boston,15,138
C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Year Round,Boston,19,146
C32024,State Street at Channel Center,42.344137,-71.052608,Year Round,Boston,19,150
C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Year Round,Boston,27,152
C32027,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,Year Round,Boston,15,162
C32028,The Lawn on D,42.344792,-71.044024,Year Round,Boston,19,163
C32029,W Broadway at D St,42.3391085,-71.0514432,Year Round,Boston,23,161
C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Year Round,Boston,14,170
C32032,Congress St at Northern Ave,42.3481,-71.03764,Year Round,Boston,15,186
C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Year Round,Boston,14,173
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,Year Round,Boston,15,218
C32035,Troy Boston,42.343749,-71.062256,Year Round,Boston,14,222
C32036,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,Year Round,Boston,15,157
C32037,Four Corners - 157 Washington St,42.30412793,-71.07929528,Year Round,Boston,11,232
C32038,Washington St at Talbot Ave,42.290333,-71.071806,Year Round,Boston,17,349
C32040,Gallivan Blvd at Adams St,42.28297568,-71.05466698,Year Round,Boston,15,258
C32041,Fields Corner T Stop,42.29963349,-71.06068976,Year Round,Boston,15,260
C32043,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Year Round,Boston,15,348
C32044,Blue Hill Ave at Almont St,42.27462067,-71.09372552,Year Round,Boston,19,340
C32045,Mattapan T Stop,42.267902,-71.093641,Year Round,Boston,15,336
C32046,Roslindale Village - Washington St,42.28630716,-71.12820532,Year Round,Boston,15,341
C32047,Roslindale Village - South St,42.287072,-71.127754,Year Round,Boston,15,337
C32048,Archdale Rd at Washington St,42.29266593,-71.12119539,Year Round,Boston,15,339
C32050,Mattapan Library,42.2773889,-71.09325,Year Round,Boston,15,353
C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Year Round,Boston,23,296
C32052,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,Year Round,Boston,19,362
C32053,Broadway T Stop,42.34304858,-71.0580343,Year Round,Boston,19,366
C32055,Codman Square Library,42.2873611,-71.071111,Year Round,Boston,17,350
C32056,Tremont St at Northampton St,42.3384318,-71.0816905,Year Round,Boston,19,364
C32057,Harrison Ave at Mullins Way,42.34521562,-71.06384031,Year Round,Boston,19,363
C32059,Belgrade Ave at Walworth St,42.28634589,-71.1367213,Year Round,Boston,15,373
C32060,Tremont St at W. Dedham St,42.34254914,-71.07421449,Year Round,Boston,15,379
C32061,Albany St at E. Brookline St,42.33664795,-71.0689446,Year Round,Boston,15,385
C32062,Ashmont T Stop,42.2856944,-71.0641389,Year Round,Boston,15,271
C32063,Mass Ave T Station,42.34135616,-71.08336953,Year Round,Boston,16,404
C32064,Sydney St at Carson St,42.32039374,-71.05355408,Year Round,Boston,19,405
C32066,Dorchester Ave at King St,42.291718,-71.062571,Year Round,Boston,15,No ID pre-March 2023
C32077,Columbus Ave at W. Canton St,42.34474225,-71.07648162,Year Round,Boston,19,417
C32079,American Legion Hwy at Cummins Hwy,42.27881158,-71.11687703,Year Round,Boston,15,422
C32085,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755,Year Round,Boston,19,432
C32086,Centre St at Parkway YMCA,42.28277901,-71.15728851,Year Round,Boston,19,433
C32087,Spring St at Powell St,42.27748444,-71.16341468,Year Round,Boston,19,434
C32089,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012,Year Round,Boston,15,442
C32090,Geiger Gibson Community Health Center,42.31886468,-71.04536798,Year Round,Boston,19,445
C32091,645 Summer St,42.34178089,-71.03987017,Year Round,Boston,19,481
C32092,Blue Hill Ave at Havelock St,42.286012,-71.090986,Year Round,Boston,18,490
C32093,Harrison Ave at E. Dedham St,42.339194,-71.06975,Year Round,Boston,19,491
C32094,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,Year Round,Boston,17,493
C32099,Circuit Drive at American Legion Hwy,42.29704126,-71.09171927,Year Round,Boston,19,538
C32102,Walnut Ave at School St,42.31242399,-71.09616905,Year Round,Boston,19,539
C32103,Morton St at Gallivan Blvd,42.278747,-71.080286,Year Round,Boston,15,545
C32104,Cleary Sq,42.2556,-71.12444,Year Round,Boston,16,546
C32105,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,Year Round,Boston,18,547
C32106,555 Metropolitan Ave,42.2681,-71.11924,Year Round,Boston,18,548
D32000,Cambridge St at Joy St,42.36125722,-71.06528744,Year Round,Boston,15,6
D32001,New Balance - 20 Guest St,42.35732922,-71.1467354,Year Round,Boston,15,37
D32002,Washington St at Waltham St,42.34157472,-71.0689044,Year Round,Boston,15,26
D32005,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,Year Round,Boston,33,36
D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Year Round,Boston,19,40
D32007,Boylston St at Arlington St,42.352808,-71.067585,Year Round,Boston,31,42
D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Year Round,Boston,15,43
D32009,Congress St at Boston City Hall,42.36041775,-71.05752244,Year Round,Boston,23,44
D32010,Cross St at Hanover St,42.362811,-71.056067,Year Round,Boston,19,47
D32011,Stuart St at Charles St,42.351146,-71.066289,Year Round,Boston,18,49
D32013,Boylston St at Berkeley St,42.35114198,-71.07329249,Year Round,Boston,15,50
D32014,Tremont St at West St,42.354979,-71.063348,Year Round,Boston,15,54
D32015,Chinatown Gate Plaza,42.351356,-71.059367,Year Round,Boston,19,59
D32016,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,Year Round,Boston,19,60
D32017,Mugar Way at Beacon St,42.35553628,-71.0728687,Year Round,Boston,19,58
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776345,-71.04535997,Year Round,Boston,23,65
D32019,Chinatown T Stop,42.352409,-71.062679,Year Round,Boston,19,81
D32020,Main St at Austin St,42.375603,-71.064608,Year Round,Boston,11,94
D32021,Warren St at Chelsea St,42.371848,-71.060292,Year Round,Boston,23,98
D32022,West End Park,42.36590788,-71.06446669,Year Round,Boston,35,109
D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Year Round,Boston,19,85
D32024,Beacon St at Charles St,42.356052,-71.069849,Year Round,Boston,19,120
D32028,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,Year Round,Boston,17,175
D32029,Washington St at Brock St,42.34895285,-71.16031677,Year Round,Boston,15,174
D32031,Oak Square - 615 Washington St,42.35057,-71.166491,Year Round,Boston,15,208
D32032,Silber Way,42.349496,-71.10057592,Year Round,Boston,19,227
D32033,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,Year Round,Boston,19,344
D32034,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,Year Round,Boston,15,338
D32035,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,Year Round,Boston,15,332
D32036,Main St at Baldwin St,42.380857,-71.070629,Year Round,Boston,19,280
D32037,Medford St at Charlestown BCYF,42.38042947,-71.06055722,Year Round,Boston,19,358
D32038,Main St at Thompson Sq,42.37487847,-71.06383499,Year Round,Boston,15,327
D32039,Charlestown Navy Yard,42.37412455,-71.054812,Year Round,Boston,23,356
D32040,Williams St at Washington St,42.306539,-71.107669,Year Round,Boston,23,279
D32041,Stony Brook T Stop,42.316966,-71.104374,Year Round,Boston,19,282
D32042,Park Plaza at Charles St S.,42.35182807,-71.06781138,Year Round,Boston,19,345
D32043,Harrison Ave at Bennet St,42.3494261,-71.0620996,Year Round,Boston,19,365
D32045,Dartmouth St at Newbury St,42.35096144,-71.07782811,Year Round,Boston,19,370
D32046,Boylston St at Exeter St,42.34958942,-71.07946779,Year Round,Boston,19,372
D32048,Shawmut Ave at Oak St W,42.34854543,-71.06559185,Year Round,Boston,15,399
D32049,Stuart St at Berkeley St,42.34954403,-71.07242074,Year Round,Boston,19,415
D32052,Jamaica St at South St,42.30604563,-71.11570891,Year Round,Boston,19,424
D32053,Sullivan Square,42.38445226,-71.07514855,Year Round,Boston,19,441
D32054,The Overlook at St. Gabriel's,42.34679008,-71.14549814,Year Round,Boston,19,447
D32057,Clinton St at North St,42.36070284,-71.05524927,Year Round,Boston,18,536
E32001,Curtis Hall - South St at Centre St,42.309054,-71.11543,Year Round,Boston,15,124
E32003,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,Year Round,Boston,15,125
E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Year Round,Boston,15,126
E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Year Round,Boston,23,133
E32006,Jackson Square T Stop,42.32293117,-71.10014141,Year Round,Boston,18,131
E32007,S Huntington Ave at Heath St,42.32760387,-71.1108917,Year Round,Boston,15,159
E32009,Shawmut T Stop,42.292917,-71.06575,Year Round,Boston,19,272
E32010,Forest Hills,42.300923,-71.114249,Year Round,Boston,40,273
E32011,The Dimock Center,42.31930943,-71.09639924,Year Round,Boston,16,425
E32012,Martha Eliot Health Center,42.324173,-71.10196,Year Round,Boston,16,488
B32062,Forsyth St at Huntington Ave,42.339202,-71.090511,Year Round,Boston,15,554
E32013,Hyde Park Library,42.2568376,-71.122509,Year Round,Boston,15,555
E32014,Ross Playground,42.2645666,-71.1145523,Year Round,Boston,19,556
B32063,St. Alphonsus St at Tremont St,42.33329255,-71.10124648,Year Round,Boston,18,558
B32064,Flat 9 at Whittier,42.33420351,-71.08767617,Year Round,Boston,15,560
C32107,Pier 4 Blvd at Autumn Ln,42.3502102,-71.0446705,Year Round,Boston,19,561
D32059,Shawmut Ave at Lenox St,42.33584613,-71.08038157,Year Round,Boston,19,568
D32060,Hood Park,42.38004535,-71.07304573,Year Round,Boston,23,569
A32056,Riverway at Brookline Ave,42.33661006,-71.1100468,Year Round,Boston,25,594
D32061,Lenox St at Kendall St,42.33759485,-71.08255059,Year Round,Boston,17,No ID pre-March 2023
A32032,Bremen St at Marion St,42.37410622,-71.03276253,Year Round,Boston,11,214
A32057,Lewis Mall Wharf,42.36567871,-71.04030132,Year Round,Boston,21,No ID pre-March 2023
C32108,Beach St at Freeport St,42.30367409,-71.05425954,Year Round,Boston,19,No ID pre-March 2023
C32110,Talbot Ave T Station,42.29225148,-71.07797205,Year Round,Boston,19,No ID pre-March 2023
C23109,Cedar Grove T Stop,42.2796076,-71.0602212,Year Round,Boston,18,No ID pre-March 2023
C32111,Four Corners/Geneva T Stop,42.30321535,-71.07820988,Year Round,Boston,15,No ID pre-March 2023
Z32999,Cummins Highway at Blue Hill Ave T Stop,42.26998847,-71.09746183,Year Round,Boston,14,No ID pre-March 2023
Z32997,Parker St at Huntington Ave,42.33848849,-71.09261138,Year Round,Boston,19,No ID pre-March 2023
C32112,Meaney Playground - Pleasant St at E Cottage St,42.31870275,-71.05889978,Year Round,Boston,17,No ID pre-March 2023
C32113,Hancock St at Pleasant St,42.30981925,-71.06019938,Year Round,Boston,19,No ID pre-March 2023
E32015,Lincoln St at Empire St,42.357651,-71.128513,Year Round,Boston,19,No ID pre-March 2023
E32016,Commonwealth Ave at Naples Rd,42.351911,-71.123798,Year Round,Boston,19,No ID pre-March 2023
E32017,Butler T Stop,42.272548,-71.062882,Year Round,Boston,15,No ID pre-March 2023
A32058,Tremont St at Court St,42.359322,-71.059624,Year Round,Boston,23,No ID pre-March 2023
D32004,Arch St at Franklin St,42.35533502,-71.05822917,Winter Storage,Boston,31,35
D32047,Clarendon St at Newbury St,42.35159662,-71.07561663,Winter Storage,Boston,19,384
E32008,Centre St at Seaverns Ave,42.3121203,-71.1142981,Winter Storage,Boston,15,357
D32058,Brighton Ave at Linden St,42.3528376,-71.1296752,Winter Storage,Boston,19,567
A32047,Broad St at Central St,42.35849449,-71.0542647,Winter Storage,Boston,15,460
C32101,American Legion Hwy at Hyde Park Ave,42.27265394,-71.11990392,Winter Storage,Boston,19,543
D32012,Post Office Square,42.35585436,-71.05459746,Winter Storage,Boston,19,48
B32012,Northeastern University - North Parking Lot,42.341814,-71.090179,Winter Storage,Boston,15,5
B32016,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,Winter Storage,Boston,19,53
C32083,Washington St at Walsh Playground,42.2771947,-71.06955614,Winter Storage,Boston,19,430
C32084,Washington St at Fuller St,42.28198628,-71.07147925,Winter Storage,Boston,15,431
C32088,Central Ave at River St,42.27094707,-71.07337901,Winter Storage,Boston,15,435
C32081,Washington St at Denton Terr,42.28072815,-71.13423757,Winter Storage,Boston,19,427
C32095,Bellevue T Stop,42.28611421,-71.14636928,Winter Storage,Boston,19,511
C32096,Knoll St at Centre St,42.29376656,-71.1365658,Winter Storage,Boston,19,512
C32078,Northbourne Rd at Hyde Park Ave,42.29118035,-71.11773666,Winter Storage,Boston,19,421
C32080,Mt. Hope St at Hyde Park Ave,42.28484472,-71.11874517,Winter Storage,Boston,19,423
C32100,Hyde Park Ave at Arlington St,42.26286746,-71.12163126,Winter Storage,Boston,19,542
C32012,Andrew T Stop - Dorchester Ave at Dexter St,42.33073333,-71.05699851,Winter Storage,Boston,15,113
C32067,Washington St at Peters Park,42.3438524,-71.06764555,Winter Storage,Boston,19,412
C32010,Congress St at Sleeper St,42.3510045,-71.04930013,Winter Storage,Boston,19,64
C32058,Ring Rd,42.34827839,-71.08044855,Year Round - Currently Stored,Boston,15,352
A32029,Piers Park,42.3650112,-71.03528559,Winter Storage,Boston,15,211
A32055,Airport T Stop - Bremen St at Brooks St,42.37535377,-71.03131771,Winter Storage,Boston,15,214
A32034,Glendon St at Condor St,42.38240378,-71.03024304,Winter Storage,Boston,19,216
A32037,Washington St at Egremont Rd,42.34286835,-71.14127841,Winter Storage,Boston,15,354
A32043,Western Ave at Richardson St,42.36178741,-71.14393111,Winter Storage,Boston,19,428
A32048,Marion St at White St,42.38066931,-71.03907316,Winter Storage,Boston,19,477
B32000,Newbury St at Hereford St,42.348717,-71.085954,Winter Storage,Boston,23,52
B32025,Uphams Corner T Stop - Magnolia St at Dudley St,42.31869734,-71.06978148,Winter Storage,Boston,15,199
B32030,Walnut Ave at Warren St,42.324081,-71.083235,Winter Storage,Boston,15,204
B32057,Blue Hill Ave at Southwood St,42.31786021,-71.07798629,Winter Storage,Boston,15,368
C23045,Morton St T,42.28072514,-71.08617242,Winter Storage,Boston,15,343
C32002,Boston Medical Center - E Concord St at Harrison Ave,42.33639915,-71.07306711,Winter Storage,Boston,19,13
C32018,E Cottage St at Columbia Rd,42.320561,-71.06198,Winter Storage,Boston,19,128
C32019,Uphams Corner,42.31727474,-71.06537004,Winter Storage,Boston,15,130
C32031,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,Winter Storage,Boston,15,167
C32039,Park St at Norwell St,42.29442579,-71.07821761,Winter Storage,Boston,15,255
C32042,Washington St at Bowdoin St,42.29916498,-71.07345872,Winter Storage,Boston,15,259
C32049,Thetford Ave at Norfolk St,42.28621295,-71.07942931,Winter Storage,Boston,15,347
C32065,Adams St at Lonsdale St,42.29167943,-71.05726346,Winter Storage,Boston,15,410
D32026,Hayes Square - Vine St at Moulton St,42.377022,-71.056605,Winter Storage,Boston,19,129
D32050,Blossom St at Charles St,42.36435589,-71.06959369,Winter Storage,Boston,15,416
A32054,Addison St at Saratoga St,42.38518147,-71.0151367,Winter Storage,Boston,19,563
C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Year Round - Currently Stored,Boston,15,106
A32046,Canal St at Causeway St,42.365301,-71.060922,Winter Storage,Boston,23,459
K32001,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,Year Round,Brookline,19,69
K32002,Beacon St at Tappan St,42.3382668,-71.13894682,Year Round,Brookline,15,82
K32003,Brookline Village - Station Street at MBTA,42.33274392,-71.11626681,Year Round,Brookline,19,86
K32004,JFK Crossing at Harvard St. / Thorndike St.,42.34655124,-71.12833211,Year Round,Brookline,15,103
K32005,Brookline Town Hall,42.33376473,-71.12046447,Year Round,Brookline,15,193
K32006,Commonwealth Ave At Babcock St,42.35154735,-71.12126246,Year Round,Brookline,15,226
K32007,St Mary's,42.34619708,-71.10728681,Year Round,Brookline,15,233
K32008,Tappan St at Brookline Hills MBTA,42.33137017,-71.12688361,Year Round,Brookline,15,191
K32009,Cypress St at Clark Playground,42.32784317,-71.12536222,Year Round,Brookline,15,187
K32010,High St at Cypress St,42.32464511,-71.12135231,Year Round,Brookline,15,401
K32012,Marion St at Harvard St,42.34012243,-71.12070564,Year Round,Brookline,15,403
K32011,Washington Sq,42.33985827,-71.13421171,Year Round,Brookline,15,402
K32015,1200 Beacon St,42.34414899,-71.11467361,Year Round,Brookline,15,452
K32017,Harvard St and Stedman St,42.34435176,-71.12490356,Year Round,Brookline,15,531
M32002,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Year Round,Cambridge,19,91
M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,Year Round,Cambridge,23,72
M32004,Kendall T,42.36242784,-71.08495474,Year Round,Cambridge,23,189
M32005,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,Year Round,Cambridge,35,80
M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Year Round,Cambridge,27,67
M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Year Round,Cambridge,15,95
M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,Year Round,Cambridge,15,75
M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Year Round,Cambridge,19,68
M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Year Round,Cambridge,17,76
M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Year Round,Cambridge,19,96
M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Year Round,Cambridge,15,87
M32016,Harvard Kennedy School at Bennett St / Eliot St,42.3722168,-71.12188071,Year Round,Cambridge,23,70
M32017,Harvard Square at Brattle St / Eliot St,42.3733288,-71.12098601,Year Round,Cambridge,15,73
M32018,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Year Round,Cambridge,19,74
M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.36707407,-71.07679278,Year Round,Cambridge,15,84
M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Year Round,Cambridge,19,89
M32021,Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025,Year Round,Cambridge,15,110
M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,Year Round,Cambridge,19,105
M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,Year Round,Cambridge,17,108
M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Year Round,Cambridge,19,104
M32025,Linear Park - Mass. Ave at Cameron Ave,42.397828,-71.130516,Year Round,Cambridge,19,
